,email,label,age,stripped,features,padded
80,victoria_james2005@gmail.com,1.0,19.0,victoria_james2005,"[35, 22, 16, 33, 28, 31, 22, 14, 12, 23, 14, 26, 18, 32, 3, 1, 1, 6]","[35, 22, 16, 33, 28, 31, 22, 14, 12, 23, 14, 26, 18, 32, 3, 1, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,Jaclyn_Cole@gmail.com,0.0,-100.0,jaclyn_cole,"[23, 14, 16, 25, 38, 27, 12, 16, 28, 25, 18]","[23, 14, 16, 25, 38, 27, 12, 16, 28, 25, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
82,Shawn.Rowe58@tutanota.com,3.0,66.0,shawn.rowe58,"[32, 21, 14, 36, 27, 11, 31, 28, 36, 18, 6, 9]","[32, 21, 14, 36, 27, 11, 31, 28, 36, 18, 6, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83,logan_wright2003@gmail.com,1.0,21.0,logan_wright2003,"[25, 28, 20, 14, 27, 12, 36, 31, 22, 20, 21, 33, 3, 1, 1, 4]","[25, 28, 20, 14, 27, 12, 36, 31, 22, 20, 21, 33, 3, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
84,thomas.jones@hotmail.com,0.0,-100.0,thomas.jones,"[33, 21, 28, 26, 14, 32, 11, 23, 28, 27, 18, 32]","[33, 21, 28, 26, 14, 32, 11, 23, 28, 27, 18, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
85,emma76_flash@gmail.com,2.0,48.0,emma76_flash,"[18, 26, 26, 14, 8, 7, 12, 19, 25, 14, 32, 21]","[18, 26, 26, 14, 8, 7, 12, 19, 25, 14, 32, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,nathan_martin2003@gmail.com,1.0,21.0,nathan_martin2003,"[27, 14, 33, 21, 14, 27, 12, 26, 14, 31, 33, 22, 27, 3, 1, 1, 4]","[27, 14, 33, 21, 14, 27, 12, 26, 14, 31, 33, 22, 27, 3, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
87,Adaline.Mills@gmail.com,0.0,-100.0,adaline.mills,"[14, 17, 14, 25, 22, 27, 18, 11, 26, 22, 25, 25, 32]","[14, 17, 14, 25, 22, 27, 18, 11, 26, 22, 25, 25, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
88,Zoie73@outlook.com,3.0,51.0,zoie73,"[39, 28, 22, 18, 8, 4]","[39, 28, 22, 18, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,jacob_green2005@yahoo.com,1.0,19.0,jacob_green2005,"[23, 14, 16, 28, 15, 12, 20, 31, 18, 18, 27, 3, 1, 1, 6]","[23, 14, 16, 28, 15, 12, 20, 31, 18, 18, 27, 3, 1, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90,sophia.adams@yahoo.com,0.0,-100.0,sophia.adams,"[32, 28, 29, 21, 22, 14, 11, 14, 17, 14, 26, 32]","[32, 28, 29, 21, 22, 14, 11, 14, 17, 14, 26, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91,samuel.morgan@gmail.com,0.0,-100.0,samuel.morgan,"[32, 14, 26, 34, 18, 25, 11, 26, 28, 31, 20, 14, 27]","[32, 14, 26, 34, 18, 25, 11, 26, 28, 31, 20, 14, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,matthew.adams@protonmail.com,0.0,-100.0,matthew.adams,"[26, 14, 33, 33, 21, 18, 36, 11, 14, 17, 14, 26, 32]","[26, 14, 33, 33, 21, 18, 36, 11, 14, 17, 14, 26, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
93,Zita.Herman35@outlook.com,3.0,89.0,zita.herman35,"[39, 22, 33, 14, 11, 21, 18, 31, 26, 14, 27, 4, 6]","[39, 22, 33, 14, 11, 21, 18, 31, 26, 14, 27, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
94,Darrel_Roberts15@protonmail.com,1.0,9.0,darrel_roberts15,"[17, 14, 31, 31, 18, 25, 12, 31, 28, 15, 18, 31, 33, 32, 2, 6]","[17, 14, 31, 31, 18, 25, 12, 31, 28, 15, 18, 31, 33, 32, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
95,Nathen.Boehm@protonmail.com,0.0,-100.0,nathen.boehm,"[27, 14, 33, 21, 18, 27, 11, 15, 28, 18, 21, 26]","[27, 14, 33, 21, 18, 27, 11, 15, 28, 18, 21, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
96,lily.thompson57@aol.com,3.0,67.0,lily.thompson57,"[25, 22, 25, 38, 11, 33, 21, 28, 26, 29, 32, 28, 27, 6, 8]","[25, 22, 25, 38, 11, 33, 21, 28, 26, 29, 32, 28, 27, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
97,noah5563@yahoo.com,0.0,-100.0,noah5563,"[27, 28, 14, 21, 6, 6, 7, 4]","[27, 28, 14, 21, 6, 6, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
98,adam.henderson32@gmail.com,3.0,92.0,adam.henderson32,"[14, 17, 14, 26, 11, 21, 18, 27, 17, 18, 31, 32, 28, 27, 4, 3]","[14, 17, 14, 26, 11, 21, 18, 27, 17, 18, 31, 32, 28, 27, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
99,andrew36_burn@hotmail.com,3.0,88.0,andrew36_burn,"[14, 27, 17, 31, 18, 36, 4, 7, 12, 15, 34, 31, 27]","[14, 27, 17, 31, 18, 36, 4, 7, 12, 15, 34, 31, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,Jayden48@mail.com,3.0,76.0,jayden48,"[23, 14, 38, 17, 18, 27, 5, 9]","[23, 14, 38, 17, 18, 27, 5, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101,Patrick.Johnston@aol.com,0.0,-100.0,patrick.johnston,"[29, 14, 33, 31, 22, 16, 24, 11, 23, 28, 21, 27, 32, 33, 28, 27]","[29, 14, 33, 31, 22, 16, 24, 11, 23, 28, 21, 27, 32, 33, 28, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102,Julien_Mayert51@aol.com,3.0,73.0,julien_mayert51,"[23, 34, 25, 22, 18, 27, 12, 26, 14, 38, 18, 31, 33, 6, 2]","[23, 34, 25, 22, 18, 27, 12, 26, 14, 38, 18, 31, 33, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
103,matthew.baker@hotmail.com,0.0,-100.0,matthew.baker,"[26, 14, 33, 33, 21, 18, 36, 11, 15, 14, 24, 18, 31]","[26, 14, 33, 33, 21, 18, 36, 11, 15, 14, 24, 18, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
104,Sofia64@mail.com,3.0,60.0,sofia64,"[32, 28, 19, 22, 14, 7, 5]","[32, 28, 19, 22, 14, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
105,Meredith_Hansen@gmail.com,0.0,-100.0,meredith_hansen,"[26, 18, 31, 18, 17, 22, 33, 21, 12, 21, 14, 27, 32, 18, 27]","[26, 18, 31, 18, 17, 22, 33, 21, 12, 21, 14, 27, 32, 18, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
106,2003_samuel_white@organization.org,1.0,21.0,2003_samuel_white,"[3, 1, 1, 4, 12, 32, 14, 26, 34, 18, 25, 12, 36, 21, 22, 33, 18]","[3, 1, 1, 4, 12, 32, 14, 26, 34, 18, 25, 12, 36, 21, 22, 33, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107,amanda.king99@hotmail.com,2.0,25.0,amanda.king99,"[14, 26, 14, 27, 17, 14, 11, 24, 22, 27, 20, 10, 10]","[14, 26, 14, 27, 17, 14, 11, 24, 22, 27, 20, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
108,Nora_Turcotte@icloud.com,0.0,-100.0,nora_turcotte,"[27, 28, 31, 14, 12, 33, 34, 31, 16, 28, 33, 33, 18]","[27, 28, 31, 14, 12, 33, 34, 31, 16, 28, 33, 33, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
109,Hailee_Kuhic58@aol.com,3.0,66.0,hailee_kuhic58,"[21, 14, 22, 25, 18, 18, 12, 24, 34, 21, 22, 16, 6, 9]","[21, 14, 22, 25, 18, 18, 12, 24, 34, 21, 22, 16, 6, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
110,daniel.taylor88@outlook.com,2.0,36.0,daniel.taylor88,"[17, 14, 27, 22, 18, 25, 11, 33, 14, 38, 25, 28, 31, 9, 9]","[17, 14, 27, 22, 18, 25, 11, 33, 14, 38, 25, 28, 31, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
111,Melody.OReilly32@tutanota.com,3.0,92.0,melody.oreilly32,"[26, 18, 25, 28, 17, 38, 11, 28, 31, 18, 22, 25, 25, 38, 4, 3]","[26, 18, 25, 28, 17, 38, 11, 28, 31, 18, 22, 25, 25, 38, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
112,paul.baker@aol.com,0.0,-100.0,paul.baker,"[29, 14, 34, 25, 11, 15, 14, 24, 18, 31]","[29, 14, 34, 25, 11, 15, 14, 24, 18, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
113,Frank_Herzog@tutanota.com,0.0,-100.0,frank_herzog,"[19, 31, 14, 27, 24, 12, 21, 18, 31, 39, 28, 20]","[19, 31, 14, 27, 24, 12, 21, 18, 31, 39, 28, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
114,michael_93.johnson@college.edu,2.0,31.0,michael_93.johnson,"[26, 22, 16, 21, 14, 18, 25, 12, 10, 4, 11, 23, 28, 21, 27, 32, 28, 27]","[26, 22, 16, 21, 14, 18, 25, 12, 10, 4, 11, 23, 28, 21, 27, 32, 28, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
115,james21_shine@gmail.com,1.0,3.0,james21_shine,"[23, 14, 26, 18, 32, 3, 2, 12, 32, 21, 22, 27, 18]","[23, 14, 26, 18, 32, 3, 2, 12, 32, 21, 22, 27, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
116,madeline.ross05@aol.com,1.0,19.0,madeline.ross05,"[26, 14, 17, 18, 25, 22, 27, 18, 11, 31, 28, 32, 32, 1, 6]","[26, 14, 17, 18, 25, 22, 27, 18, 11, 31, 28, 32, 32, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
117,Pansy17@protonmail.com,1.0,7.0,pansy17,"[29, 14, 27, 32, 38, 2, 8]","[29, 14, 27, 32, 38, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
118,amanda_williams12356@icloud.com,0.0,-100.0,amanda_williams12356,"[14, 26, 14, 27, 17, 14, 12, 36, 22, 25, 25, 22, 14, 26, 32, 2, 3, 4, 6, 7]","[14, 26, 14, 27, 17, 14, 12, 36, 22, 25, 25, 22, 14, 26, 32, 2, 3, 4, 6, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
119,david.clark@protonmail.com,0.0,-100.0,david.clark,"[17, 14, 35, 22, 17, 11, 16, 25, 14, 31, 24]","[17, 14, 35, 22, 17, 11, 16, 25, 14, 31, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
120,caleb.phillips67@icloud.com,3.0,57.0,caleb.phillips67,"[16, 14, 25, 18, 15, 11, 29, 21, 22, 25, 25, 22, 29, 32, 7, 8]","[16, 14, 25, 18, 15, 11, 29, 21, 22, 25, 25, 22, 29, 32, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
121,1987_rachel.s@gmail.com,2.0,37.0,1987_rachel.s,"[2, 10, 9, 8, 12, 31, 14, 16, 21, 18, 25, 11, 32]","[2, 10, 9, 8, 12, 31, 14, 16, 21, 18, 25, 11, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
122,margaret.anderson1782@gmail.com,0.0,-100.0,margaret.anderson1782,"[26, 14, 31, 20, 14, 31, 18, 33, 11, 14, 27, 17, 18, 31, 32, 28, 27, 2, 8, 9, 3]","[26, 14, 31, 20, 14, 31, 18, 33, 11, 14, 27, 17, 18, 31, 32, 28, 27, 2, 8, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
123,matthew.lewis@gmail.com,0.0,-100.0,matthew.lewis,"[26, 14, 33, 33, 21, 18, 36, 11, 25, 18, 36, 22, 32]","[26, 14, 33, 33, 21, 18, 36, 11, 25, 18, 36, 22, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
124,Carlie.Conroy@aol.com,0.0,-100.0,carlie.conroy,"[16, 14, 31, 25, 22, 18, 11, 16, 28, 27, 31, 28, 38]","[16, 14, 31, 25, 22, 18, 11, 16, 28, 27, 31, 28, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
125,claire81_flicker@yahoo.com,2.0,43.0,claire81_flicker,"[16, 25, 14, 22, 31, 18, 9, 2, 12, 19, 25, 22, 16, 24, 18, 31]","[16, 25, 14, 22, 31, 18, 9, 2, 12, 19, 25, 22, 16, 24, 18, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
126,joshua.bell00@gmail.com,1.0,24.0,joshua.bell00,"[23, 28, 32, 21, 34, 14, 11, 15, 18, 25, 25, 1, 1]","[23, 28, 32, 21, 34, 14, 11, 15, 18, 25, 25, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
127,mason.watson04@hotmail.com,1.0,20.0,mason.watson04,"[26, 14, 32, 28, 27, 11, 36, 14, 33, 32, 28, 27, 1, 5]","[26, 14, 32, 28, 27, 11, 36, 14, 33, 32, 28, 27, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
128,victoria_kelly2003@protonmail.com,1.0,21.0,victoria_kelly2003,"[35, 22, 16, 33, 28, 31, 22, 14, 12, 24, 18, 25, 25, 38, 3, 1, 1, 4]","[35, 22, 16, 33, 28, 31, 22, 14, 12, 24, 18, 25, 25, 38, 3, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
129,jason.barnes90@gmail.com,2.0,34.0,jason.barnes90,"[23, 14, 32, 28, 27, 11, 15, 14, 31, 27, 18, 32, 10, 1]","[23, 14, 32, 28, 27, 11, 15, 14, 31, 27, 18, 32, 10, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
130,simon.peters@hotmail.com,0.0,-100.0,simon.peters,"[32, 22, 26, 28, 27, 11, 29, 18, 33, 18, 31, 32]","[32, 22, 26, 28, 27, 11, 29, 18, 33, 18, 31, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
131,martha.young1792@gmail.com,0.0,-100.0,martha.young1792,"[26, 14, 31, 33, 21, 14, 11, 38, 28, 34, 27, 20, 2, 8, 10, 3]","[26, 14, 31, 33, 21, 14, 11, 38, 28, 34, 27, 20, 2, 8, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
132,Nikolas54@outlook.com,3.0,70.0,nikolas54,"[27, 22, 24, 28, 25, 14, 32, 6, 5]","[27, 22, 24, 28, 25, 14, 32, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
133,caleb78_bright@icloud.com,2.0,46.0,caleb78_bright,"[16, 14, 25, 18, 15, 8, 9, 12, 15, 31, 22, 20, 21, 33]","[16, 14, 25, 18, 15, 8, 9, 12, 15, 31, 22, 20, 21, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
134,james_jones10000@gmail.com,0.0,-100.0,james_jones10000,"[23, 14, 26, 18, 32, 12, 23, 28, 27, 18, 32, 2, 1, 1, 1, 1]","[23, 14, 26, 18, 32, 12, 23, 28, 27, 18, 32, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
135,Carroll_Armstrong92@mail.com,2.0,32.0,carroll_armstrong92,"[16, 14, 31, 31, 28, 25, 25, 12, 14, 31, 26, 32, 33, 31, 28, 27, 20, 10, 3]","[16, 14, 31, 31, 28, 25, 25, 12, 14, 31, 26, 32, 33, 31, 28, 27, 20, 10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
136,Annabelle.Schaden-Jakubowski82@icloud.com,2.0,42.0,annabelle.schaden-jakubowski82,"[14, 27, 27, 14, 15, 18, 25, 25, 18, 11, 32, 16, 21, 14, 17, 18, 27, 13, 23, 14, 24, 34, 15, 28, 36, 32, 24, 22, 9, 3]","[14, 27, 27, 14, 15, 18, 25, 25, 18, 11, 32, 16, 21, 14, 17, 18, 27, 13, 23, 14, 24, 34, 15, 28, 36, 32, 24, 22, 9, 3, 0, 0]"
137,mary.james@icloud.com,0.0,-100.0,mary.james,"[26, 14, 31, 38, 11, 23, 14, 26, 18, 32]","[26, 14, 31, 38, 11, 23, 14, 26, 18, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
138,megan_wilson4321@hotmail.com,0.0,-100.0,megan_wilson4321,"[26, 18, 20, 14, 27, 12, 36, 22, 25, 32, 28, 27, 5, 4, 3, 2]","[26, 18, 20, 14, 27, 12, 36, 22, 25, 32, 28, 27, 5, 4, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
139,emily_clark.91@mail.service.com,2.0,33.0,emily_clark.91,"[18, 26, 22, 25, 38, 12, 16, 25, 14, 31, 24, 11, 10, 2]","[18, 26, 22, 25, 38, 12, 16, 25, 14, 31, 24, 11, 10, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
140,Kaleigh72@mail.com,3.0,52.0,kaleigh72,"[24, 14, 25, 18, 22, 20, 21, 8, 3]","[24, 14, 25, 18, 22, 20, 21, 8, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
141,Jed_Gutmann-Heidenreich18@protonmail.com,1.0,6.0,jed_gutmann-heidenreich18,"[23, 18, 17, 12, 20, 34, 33, 26, 14, 27, 27, 13, 21, 18, 22, 17, 18, 27, 31, 18, 22, 16, 21, 2, 9]","[23, 18, 17, 12, 20, 34, 33, 26, 14, 27, 27, 13, 21, 18, 22, 17, 18, 27, 31, 18, 22, 16, 21, 2, 9, 0, 0, 0, 0, 0, 0, 0]"
142,james.jones00@gmail.com,1.0,24.0,james.jones00,"[23, 14, 26, 18, 32, 11, 23, 28, 27, 18, 32, 1, 1]","[23, 14, 26, 18, 32, 11, 23, 28, 27, 18, 32, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
143,tyler_hayes1986@gmail.com,2.0,38.0,tyler_hayes1986,"[33, 38, 25, 18, 31, 12, 21, 14, 38, 18, 32, 2, 10, 9, 7]","[33, 38, 25, 18, 31, 12, 21, 14, 38, 18, 32, 2, 10, 9, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
144,Claudia.Osinski-Pollich46@gmail.com,3.0,78.0,claudia.osinski-pollich46,"[16, 25, 14, 34, 17, 22, 14, 11, 28, 32, 22, 27, 32, 24, 22, 13, 29, 28, 25, 25, 22, 16, 21, 5, 7]","[16, 25, 14, 34, 17, 22, 14, 11, 28, 32, 22, 27, 32, 24, 22, 13, 29, 28, 25, 25, 22, 16, 21, 5, 7, 0, 0, 0, 0, 0, 0, 0]"
145,andrew.james64@hotmail.com,3.0,60.0,andrew.james64,"[14, 27, 17, 31, 18, 36, 11, 23, 14, 26, 18, 32, 7, 5]","[14, 27, 17, 31, 18, 36, 11, 23, 14, 26, 18, 32, 7, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
146,logan_1095johnson@outlook.com,0.0,-100.0,logan_1095johnson,"[25, 28, 20, 14, 27, 12, 2, 1, 10, 6, 23, 28, 21, 27, 32, 28, 27]","[25, 28, 20, 14, 27, 12, 2, 1, 10, 6, 23, 28, 21, 27, 32, 28, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
147,Rhea.Gislason63@mail.com,3.0,61.0,rhea.gislason63,"[31, 21, 18, 14, 11, 20, 22, 32, 25, 14, 32, 28, 27, 7, 4]","[31, 21, 18, 14, 11, 20, 22, 32, 25, 14, 32, 28, 27, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
148,Gerson.Feest71@gmail.com,3.0,53.0,gerson.feest71,"[20, 18, 31, 32, 28, 27, 11, 19, 18, 18, 32, 33, 8, 2]","[20, 18, 31, 32, 28, 27, 11, 19, 18, 18, 32, 33, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
149,carter.james99@hotmail.com,2.0,25.0,carter.james99,"[16, 14, 31, 33, 18, 31, 11, 23, 14, 26, 18, 32, 10, 10]","[16, 14, 31, 33, 18, 31, 11, 23, 14, 26, 18, 32, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
150,Cali_Zieme24@aol.com,1.0,0.0,cali_zieme24,"[16, 14, 25, 22, 12, 39, 22, 18, 26, 18, 3, 5]","[16, 14, 25, 22, 12, 39, 22, 18, 26, 18, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
151,lily_thompson5678@aol.com,0.0,-100.0,lily_thompson5678,"[25, 22, 25, 38, 12, 33, 21, 28, 26, 29, 32, 28, 27, 6, 7, 8, 9]","[25, 22, 25, 38, 12, 33, 21, 28, 26, 29, 32, 28, 27, 6, 7, 8, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
152,Julianne_Larkin39@yahoo.com,3.0,85.0,julianne_larkin39,"[23, 34, 25, 22, 14, 27, 27, 18, 12, 25, 14, 31, 24, 22, 27, 4, 10]","[23, 34, 25, 22, 14, 27, 27, 18, 12, 25, 14, 31, 24, 22, 27, 4, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
153,stephanie.2002clark@gmail.com,1.0,22.0,stephanie.2002clark,"[32, 33, 18, 29, 21, 14, 27, 22, 18, 11, 3, 1, 1, 3, 16, 25, 14, 31, 24]","[32, 33, 18, 29, 21, 14, 27, 22, 18, 11, 3, 1, 1, 3, 16, 25, 14, 31, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
154,laura.baker45@icloud.com,3.0,79.0,laura.baker45,"[25, 14, 34, 31, 14, 11, 15, 14, 24, 18, 31, 5, 6]","[25, 14, 34, 31, 14, 11, 15, 14, 24, 18, 31, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
155,robert23_spark@protonmail.com,1.0,1.0,robert23_spark,"[31, 28, 15, 18, 31, 33, 3, 4, 12, 32, 29, 14, 31, 24]","[31, 28, 15, 18, 31, 33, 3, 4, 12, 32, 29, 14, 31, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
156,Jewell.Stark@aol.com,0.0,-100.0,jewell.stark,"[23, 18, 36, 18, 25, 25, 11, 32, 33, 14, 31, 24]","[23, 18, 36, 18, 25, 25, 11, 32, 33, 14, 31, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
157,Shyann_Herzog14@aol.com,1.0,10.0,shyann_herzog14,"[32, 21, 38, 14, 27, 27, 12, 21, 18, 31, 39, 28, 20, 2, 5]","[32, 21, 38, 14, 27, 27, 12, 21, 18, 31, 39, 28, 20, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
158,megan_patel1994@gmail.com,2.0,30.0,megan_patel1994,"[26, 18, 20, 14, 27, 12, 29, 14, 33, 18, 25, 2, 10, 10, 5]","[26, 18, 20, 14, 27, 12, 29, 14, 33, 18, 25, 2, 10, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
